Year,Institute_ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
2016,NIRF-MGMT-INF-217,"Indian Institute Of Management, Bangaluru",Bangaluru,Karnataka,93.04,1,96.18,94.05,90.1,86.61,95.0
2016,NIRF-MGMT-INF-311,"Indian Institute Of Management, Ahmedabad",Ahmedabad,Gujarat,89.91,2,90.2,91.35,89.73,80.63,99.0
2016,NIRF-MGMT-INF-353,"Indian Institute Of Management, Calcutta",Kolkata,West Bengal,87.45,3,82.34,93.38,89.44,79.25,94.0
2016,NIRF-MGMT-INF-76,"Indian Institute Of Management, Lucknow-Lucknow",Lucknow,Uttar Pradesh,86.12,4,82.22,88.52,89.37,79.32,96.0
2016,NIRF-MGMT-INF-352,"Indian Institute Of Management, Udaipur",Udaipur,Rajasthan,84.22,5,80.99,90.85,87.17,68.44,93.0
2016,NIRF-MGMT-INF-297,"Indian Institute Of Management, Kozhikode",Kozhikode,Kerala,81.97,6,74.62,88.81,87.15,69.6,94.0
2016,NIRF-MGMT-1-2454726101,International Management Institute-New Delhi,NEW DELHI,Delhi,81.77,7,88.45,83.15,83.77,59.33,88.0
2016,NIRF-MGMT-1-2451110408,Indian Institute Of Forest Management,BHOPAL,Madhya Pradesh,81.01,8,91.25,78.24,81.39,65.29,82.0
2016,NIRF-MGMT-INF-228,"Indian Institute Of Technology, Kanpur",Kanpur,Uttar Pradesh,79.43,9,93.89,92.42,80.81,47.04,44.0
2016,NIRF-MGMT-INF-231,"Indian Institute Of Management, Indore-Indore",Indore,Madhya Pradesh,78.62,10,69.39,83.9,87.02,66.8,96.0
2016,NIRF-MGMT-1-2455701358,Management Development Institute,GURGAON,Haryana,77.44,11,70.84,75.01,98.59,61.63,97.0
2016,NIRF-MGMT-1-2451326855,"International Management Institute, Kolkata",KOLKATA,West Bengal,77.16,12,88.58,85.74,85.53,55.39,37.0
2016,NIRF-MGMT-1-2451299852,Xavier Labour Relations Institute (Xlri),JAMSHEDPUR,Jharkhand,75.3,13,84.21,65.44,89.01,52.37,92.0
2016,NIRF-MGMT-INF-351,"Indian Institute Of Management, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,75.23,14,76.93,84.11,86.31,64.31,43.0
2016,NIRF-MGMT-1-2454400380,Thiagarajar School Of Management,MADURAI,Tamil Nadu,74.68,15,87.77,78.97,82.85,62.21,29.0
2016,NIRF-MGMT-1-2450707313,S. P. Jain Institute Of Management & Research,MUMBAI,Maharashtra,74.59,16,69.18,83.93,89.61,41.73,90.0
2016,NIRF-MGMT-768,Vellore Institute Of Technology,Vellore,Tamil Nadu,73.0,17,80.4,77.31,57.24,86.04,42.0
2016,NIRF-MGMT-INF-348,"Indian Institute Of Management, Raipur",Raipur,Chhattisgarh,72.41,18,69.09,85.61,87.49,59.44,40.0
2016,NIRF-MGMT-INF-350,"Indian Institute Of Management, Rohtak",Rohtak,Haryana,72.37,19,77.54,82.24,85.74,48.52,43.0
2016,NIRF-MGMT-INF-355,Rajiv Gandhi Indian Institute Of Management,Shillong,Meghalaya,71.93,20,87.71,80.91,87.66,37.82,25.0
2016,NIRF-MGMT-INF-347,"Indian Institute Of Management, Kashipur",Kashipur,Uttarakhand,70.11,21,62.91,78.33,77.72,48.14,89.0
2016,NIRF-MGMT-246,Indian Institute Of Information Technology And Management,Gwalior,Madhya Pradesh,69.42,22,68.12,80.59,55.96,55.03,82.0
