Year,Institute_ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
2016,NIRF-ENGG-INF-77,"Indian Institute Of Technology, Madras",Chennai,Tamil Nadu,89.41,1.0,88.26,94.02,81.81,86.11,98.0
2016,NIRF-ENGG-INF-312,"Indian Institute Of Technology, Bombay",Bombay,Maharashtra,87.66,2.0,85.93,94.14,84.97,74.84,99.0
2016,NIRF-ENGG-INF-300,"Indian Institute Of Technology, Kharagpur",Kharagpur,West Bengal,83.91,3.0,76.23,92.68,83.95,78.05,97.0
2016,NIRF-ENGG-INF-79,"Indian Institute Of Technology, Delhi",New Delhi,Delhi,82.02,4.0,80.27,91.62,74.72,66.17,98.0
2016,NIRF-ENGG-INF-228,"Indian Institute Of Technology, Kanpur",Kanpur,Uttar Pradesh,81.07,5.0,66.08,93.52,85.62,70.59,98.0
2016,NIRF-ENGG-INF-78,"Indian Institute Of Technology, Roorkee",Roorkee,Uttarakhand,78.68,6.0,67.83,83.5,81.61,76.59,96.0
2016,NIRF-ENGG-INF-345,"Indian Institute Of Technology, Hyderabad",Hyderabad,Telangana,77.22,7.0,76.76,76.83,80.89,63.76,95.0
2016,NIRF-ENGG-INF-298,"Indian Institute Of Technology, Gandhinagar",Ahmedabad,Gujarat,75.2,8.0,80.36,72.09,64.91,71.94,96.0
2016,NIRF-ENGG-INF-340,"Indian Institute Of Technology, Ropar-Rupnagar",Rupnagar,Punjab,74.88,9.0,89.96,73.56,86.42,60.67,38.0
2016,NIRF-ENGG-INF-344,"Indian Institute Of Technology, Patna",Patna,Bihar,74.68,10.0,79.8,68.29,74.13,68.78,93.0
2016,NIRF-ENGG-INF-299,"Indian Institute Of Technology, North Guwahati",Guwahati,Assam,74.62,11.0,71.92,78.66,71.82,65.62,94.0
2016,NIRF-ENGG-INF-370,"National Institute Of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,74.45,12.0,56.99,80.37,81.5,79.5,92.0
2016,NIRF-ENGG-768,Vellore Institute Of Technology,Vellore,Tamil Nadu,74.4,13.0,66.95,74.72,77.38,77.11,91.0
2016,NIRF-ENGG-INF-423,"Indian Institute Of Technology (Banaras Hindu University), Varanasi",Varanasi,Uttar Pradesh,74.39,14.0,59.08,80.63,96.8,56.73,96.0
2016,NIRF-ENGG-INF-373,Sardar Vallabhbhai National Institute Of Technology,Surat,Gujarat,73.13,15.0,59.02,85.24,78.43,68.81,83.0
2016,NIRF-ENGG-INF-346,"Indian Institute Of Technology, Indore",Indore,Madhya Pradesh,72.0,16.0,86.75,75.78,89.85,39.23,46.0
2016,NIRF-ENGG-1-2451694143,Birla Institute Of Technology,RANCHI,Jharkhand,71.8,17.0,55.39,81.06,82.47,65.5,90.0
2016,NIRF-ENGG-INF-225,"Visvesvaraya National Institute Of Technology, Nagpur (Deemed University)-Nagpur",Nagpur,Maharashtra,71.29,18.0,59.98,73.64,69.05,82.7,85.0
2016,NIRF-ENGG-INF-140,"National Institute Of Technology, Rourkela-Rourkela",Rourkela,Odisha,70.8,19.0,60.78,75.69,81.49,73.21,74.0
2016,NIRF-ENGG-INF-338,"Indian Institute Of Technology, Mandi",Mandi,Himachal Pradesh,70.32,20.0,85.83,70.35,81.05,47.29,43.0
2016,NIRF-ENGG-INF-NEW11,"Indian Institute Of Engineering Science And Technology, Shibpur",Howrah,West Bengal,70.35,,57.76,83.07,76.07,59.5,87.0
2016,NIRF-ENGG-1-2453839794,"College Of Engineering, Pune",PUNE,Maharashtra,69.71,21.0,58.61,66.4,82.92,74.67,95.0
2016,NIRF-ENGG-INF-363,"National Institute Of Technology, Karnataka-Mangalore",Mangalore,Karnataka,68.95,22.0,60.26,67.86,77.29,70.22,88.0
2016,NIRF-ENGG-INF-357,Motilal Nehru National Institute Of Technology,Allahabad,Uttar Pradesh,67.94,23.0,54.63,72.07,74.08,75.04,82.0
2016,NIRF-ENGG-1-2451585489,Psg College Of Technology-Coimbatore,COIMBATORE,Tamil Nadu,67.8,24.0,56.72,64.67,77.3,72.1,94.0
2016,NIRF-ENGG-INF-301,"Indian Institute Of Technology, Jodhpur",Jodhpur,Rajasthan,67.68,25.0,73.02,66.41,60.71,60.11,86.0
2016,NIRF-ENGG-INF-296,"Indian Institute Of Technology, Bhubaneswar",Bhubaneswar,Odisha,67.58,26.0,67.4,75.73,61.06,51.57,85.0
2016,NIRF-ENGG-1-2454118012,Thapar University-Patiala,PATIALA,Punjab,67.51,27.0,49.43,78.7,77.69,64.58,83.0
2016,NIRF-ENGG-INF-247,"National Institute Of Technology, Warangal",Warangal,Telangana,67.12,28.0,58.2,71.82,75.41,61.2,82.0
2016,NIRF-ENGG-1-2452436680,Thiagarajar College Of Engineering-Madurai,MADURAI,Tamil Nadu,66.51,29.0,57.93,75.86,80.94,57.91,63.0
2016,NIRF-ENGG-INF-361,"National Institute Of Technology, Durgapur",Durgapur,West Bengal,65.4,30.0,49.24,79.62,65.86,66.15,78.0
2016,NIRF-ENGG-1-2456108684,Amrita School Of Engineering,KARUNAGAPALLY,Kerala,63.94,31.0,56.81,63.75,74.02,62.08,75.0
2016,NIRF-ENGG-620,Shanmugha Arts Science Technology & Research Academy (Sastra),Thanjavur,Tamil Nadu,63.77,,60.21,65.55,81.0,58.4,51.0
2016,NIRF-ENGG-1-2452855119,Kalinga Institue Of Industrial Technology,BHUBANESWAR,Odisha,63.4,32.0,60.63,73.91,83.55,70.31,1.0
2016,NIRF-ENGG-1-2455786386,M. S. Ramaiah Institute Of Technology-Bangalore,BANGALORE,Karnataka,63.39,33.0,40.32,72.19,95.08,66.33,61.0
2016,NIRF-ENGG-1-2449931180,Coimbatore Institute Of Technology-Coimbatore,COIMBATORE,Tamil Nadu,62.58,34.0,48.31,62.54,82.91,68.54,74.0
2016,NIRF-ENGG-1-2451203119,R.V. College Of Engineering-Bengaluru,BENGALURU,Karnataka,62.26,35.0,55.4,65.31,77.86,48.75,76.0
2016,NIRF-ENGG-INF-142,"National Institute Of Technology, Calicut",Calicut,Kerala,62.26,35.0,56.09,71.53,72.03,64.42,40.0
2016,NIRF-ENGG-INF-240,"Malaviya National Institute Of Technology, Jaipur",Jaipur,Rajasthan,62.14,37.0,55.13,71.63,74.32,62.16,41.0
2016,NIRF-ENGG-1-2519066781,Pec University Of Technology-Chandigarh,CHANDIGARH,Chandigarh,61.32,38.0,62.21,55.58,70.83,55.49,77.0
2016,NIRF-ENGG-1-2456080951,Manipal Institute Of Technology,MANIPAL,Karnataka,61.15,39.0,62.58,67.06,65.34,61.72,33.0
2016,NIRF-ENGG-1-2455890291,Jamia Millia Islamia (A Central University),NEW DELHI,Delhi,60.18,41.0,47.68,76.73,56.87,47.6,72.0
2016,NIRF-ENGG-INF-293,"Dr. B R Ambedkar National Institute Of Technology, Jalandhar",Jalandhar,Punjab,59.91,42.0,46.65,74.56,81.02,61.7,25.0
2016,NIRF-ENGG-INF-333,"Indian Institute Of Science Education & Research, Mohali",Mohali,Punjab,59.58,43.0,59.29,82.22,13.39,50.12,83.0
2016,NIRF-ENGG-350,Karunya Institute Of Technology And Sciences,Coimbatore,Tamil Nadu,59.29,44.0,55.1,68.79,60.61,78.6,19.0
2016,NIRF-ENGG-512,"Institute Of Technology, Nirma University",Ahmedabad,Gujarat,59.23,45.0,48.41,54.52,67.95,69.27,81.0
2016,NIRF-ENGG-1-2456278780,Kongu Engineering College,PERUNDURAI,Tamil Nadu,59.06,46.0,47.51,66.33,77.98,72.56,32.0
2016,NIRF-ENGG-1-2456274762,sona College Of Technology-Salem,SALEM,Tamil Nadu,58.97,47.0,39.04,58.23,66.94,77.41,86.0
2016,NIRF-ENGG-INF-144,"National Institute Of Technology, Kurukshetra",Kurukshetra,Haryana,58.89,48.0,53.15,64.82,78.28,53.95,41.0
2016,NIRF-ENGG-1-2452861917,Pondicherry Engineering College,PUDUCHERRY,Pondicherry,58.79,49.0,58.68,57.67,71.2,77.49,19.0
2016,NIRF-ENGG-1-2449920071,"Amrita Viswa Vidyapeetham-Amrita Nagar (Po) ,Ettimadai","AMRITA NAGAR (PO) ,ETTIMADAI",Tamil Nadu,58.78,50.0,57.04,53.42,81.38,65.7,36.0
2016,NIRF-ENGG-INF-145,"National Institute Of Technology, Hamirpur",Hamirpur,Himachal Pradesh,58.65,51.0,41.6,73.08,77.24,63.3,41.0
2016,NIRF-ENGG-INF-359,"National Institute Of Technology, Agartala",Agartala,Tripura,58.63,52.0,57.4,58.47,75.03,66.24,32.0
2016,NIRF-ENGG-1-2456189964,Kumaraguru College Of Technology-Coimbatore,COIMBATORE,Tamil Nadu,58.44,53.0,57.49,58.03,69.44,70.34,32.0
