Year,Institute_ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
2016,NIRF-PHRM-1-2456020972,Manipal College Of Pharmaceutical Sciences-Manipal,MANIPAL,Karnataka,77.87,1.0,83.22,71.28,86.22,67.3,85.0
2016,NIRF-PHRM-1-2454629936,University Institute Of Pharmaceutical Sciences-Chandigarh,CHANDIGARH,Chandigarh,77.1,2.0,73.86,97.59,69.89,50.06,77.0
2016,NIRF-PHRM-1-2455871382,Jamia Hamdard,NEW DELHI,Delhi,71.38,3.0,69.57,85.77,70.37,45.52,74.0
2016,NIRF-PHRM-1-2460064011,"Poona College Of Pharmacy, Erandwane, Pune-Pune",PUNE,Maharashtra,70.92,4.0,52.87,81.66,66.91,71.75,98.0
2016,NIRF-PHRM-512,"Institute Of Pharmacy, Nirma University",Ahmedabad,Gujarat,69.76,5.0,55.52,73.95,81.54,73.41,77.0
2016,NIRF-PHRM-1-2453380959,Bombay College Of Pharmacy-Mumbai,MUMBAI,Maharashtra,69.48,6.0,54.46,79.13,70.07,61.22,97.0
2016,NIRF-PHRM-1-2451694143,Birla Institute Of Technology,RANCHI,Jharkhand,67.0,7.0,60.96,71.9,78.54,40.66,93.0
2016,NIRF-PHRM-1-2450640850,Amrita School Of Pharmacy,KOCHI,Kerala,66.09,8.0,64.23,68.59,90.83,62.79,32.0
2016,NIRF-PHRM-1-2449942640,JSS College Of Pharmacy,OOTACAMUND,Tamil Nadu,63.29,9.0,48.44,78.46,50.9,85.42,48.0
2016,NIRF-PHRM-1-2456024149,JSS College Of Pharmacy,MYSORE,Karnataka,63.21,10.0,51.4,61.94,63.17,69.44,93.0
2016,NIRF-PHRM-1-2452430866,PSG College Of Pharmacy,COIMBATORE,Tamil Nadu,61.3,11.0,65.39,60.61,65.35,64.7,40.0
2016,NIRF-PHRM-1-2451331846,L. M. College Of Pharmacy,AHMEDABAD,Gujarat,60.56,12.0,48.99,64.45,59.01,58.29,89.0
2016,NIRF-PHRM-1-2455848168,Al Ameen College Of Pharmacy,BANGALORE,Karnataka,59.67,13.0,53.48,58.55,45.51,67.7,91.0
2016,NIRF-PHRM-1-2450732333,R. C. Patel Institute Of Pharmaceutical Education & Research,SHIRPUR,Maharashtra,57.25,14.0,46.67,71.7,42.9,69.3,49.0
2016,NIRF-PHRM-1-2451215344,"H.K.E.S S Matoshree Taradevi Rampure Institute Of Pharmaceutical Sciences, Gulbarga, Karnataka",GULBARGA,Karnataka,56.31,15.0,69.75,57.22,45.06,48.89,41.0
2016,NIRF-PHRM-1-2450990240,University College Of Pharmaceutical Sciences,WARANGAL,Telangana,56.17,16.0,51.77,66.14,60.34,48.13,45.0
2016,NIRF-PHRM-1-2454742218,"Chitkara College Of Pharmacy,-Rajpura",RAJPURA,Punjab,56.11,17.0,56.84,71.16,48.1,48.6,32.0
2016,NIRF-PHRM-1-2450994516,N.G.S.M.Institute Of Pharmaceutical Sciences-Mangalore,MANGALORE,Karnataka,55.26,18.0,55.75,57.65,69.91,65.92,9.0
2016,NIRF-PHRM-1-2455034475,School Of Pharmacy-Solan,SOLAN,Himachal Pradesh,55.17,19.0,60.43,49.17,74.7,41.31,49.0
